FUNNELMETRICS__API_IDENTIFIER_QUAL__C,FUNNELMETRICS__ASSESSMENT_TYPE__C,FUNNELMETRICS__CALCULATION_TYPE__C,FUNNELMETRICS__CATEGORY__C,FUNNELMETRICS__DESCRIPTION__C,FUNNELMETRICS__DISPLAY_ORDER__C,FUNNELMETRICS__FIELD_NAME__C,FUNNELMETRICS__METRIC_FIELD_NAME__C,FunnelMetrics__Goal_field_name__c,FunnelMetrics__Group__c,FUNNELMETRICS__RATING_TYPE__C,FUNNELMETRICS__TIMING__C,FUNNELMETRICS__USER_TYPE__C,FUNNELMETRICS__X0LEVELHIGH__C,FUNNELMETRICS__X0LEVELLOW__C,FUNNELMETRICS__X1LEVELHIGH__C,FUNNELMETRICS__X1LEVELLOW__C,FUNNELMETRICS__X2LEVELHIGH__C,FUNNELMETRICS__X2LEVELLOW__C,FUNNELMETRICS__X3LEVELHIGH__C,FUNNELMETRICS__X3LEVELLOW__C,FUNNELMETRICS__X4LEVELHIGH__C,FUNNELMETRICS__X4LEVELLOW__C,NAME,FunnelMetrics__Deactivated__c
,Quantitative,Bucketed,Quantitative,Count of meetings conducted by a rep in the most recent 12 months based on Meeting Types selected in Application Settings.,24,Number_of_meetings_12_months_percentage__c,Number_of_meetings_Rolling_12_months__c,Goal_Number_of_meetings_12_months__c,Meetings,#,End of month,Both,24,0,49,25,74,50,99,75,,100,12 Month Rolling Number of meetings,FALSE
,Quantitative,Bucketed,Quantitative,The Average of Opportunity revenue amounts for Opportunities won in last 12 months. Calculated as Total $$ Amount of all opportunities won in the last 12 months/ count of won opportunities.,26,X12_Month_Rolling_Average_Win_Size_perc__c,X12_Month_Average_Selling_Price__c,Goal_12m_Avg_Selling_Price__c,Win Size,$,End of month,Both,24,0,49,25,74,50,99,75,,100,12 Month Rolling Average $ Win Size,FALSE
,Quantitative,Bucketed,Quantitative,Close Rate % based on $$ .  Average of Monthly Opportunity Close Rates for the past 12 months.,27,X12_Month_Rolling_Close_Rate_percentage__c,X12_Month_Rolling_Close_Rate__c,Goal_12m_rolling_amt_close_rate__c,,%,End of month,Both,24,0,49,25,74,50,99,75,,100,12 Month Rolling Close Rate Based on $$$,FALSE
,Quantitative,Bucketed,Quantitative,Close Rate % based on opportunity counts.  Average of Monthly Opportunity Close Rates for the past 12 months.,28,X12_Month_Rolling_Opp_Close_Rate_perc__c,X12_Month_Rolling_Opportunity_Close_Rate__c,Goal_12m_rolling_close_rate__c,Opportunity Close Rate,%,End of month,Both,24,0,49,25,74,50,99,75,,100,12 Month Rolling Close Rate Based on Opportunities,FALSE
,Quantitative,Bucketed,Quantitative,Count of Opportunities won in past 12 months by a rep.,29,X12_Month_Rolling_Opptys_Won_percentage__c,X12_Month_Rolling_Opptys_Won__c,Goal_12_Month_Rolling_Opptys_Won__c,Opportunities Won,#,End of month,Both,24,0,49,25,74,50,99,75,,100,12 Month Rolling Number of Wins,FALSE
,Quantitative,Bucketed,Quantitative,Count of total Opportunities added in the last 12 months by a rep. The Probability Percentage (Application Settings) determines the threshold for adding an opportunity to the count.,25,X12_Month_Opportunities_added_percentage__c,X12_Month_QO_added__c,Goal_12_Month_Opportunitie_added_funnel__c,Qualified Opportunities Added,#,End of month,Both,24,0,49,25,74,50,99,75,,100,12 Month Rolling Opportunities Added to Qualified Funnel,FALSE
,Quantitative,Bucketed,Quantitative,Sum of the opportunity amounts for all won opportunities over the past 12 months for a rep considered towards quota retirement.,30,X12_Month_Rolling_Quota_Performance__c,X12_Month_Rolling_Revenue__c,X12_Month_Rolling_Quota__c,,$,End of month,Both,24,0,49,25,74,50,99,75,,100,12 Month Rolling Quota Performance,FALSE
,Quantitative,Bucketed,Quantitative,The average $$ revenue size of an opportunity in the pipeline. Calculated as the total revenue amount of all active pipeline opportunities / number of pipeline opportunities.,,Average_Deal_Size_Percentage__c,Average_Deal_Size__c,Goal_Average_Deal_Size__c,Deal Size,$,End of month,Both,24,0,49,25,74,50,99,75,,100,Average Pipeline Opportunity Size,FALSE
1,Qualitative,Evaluation,Qualitative,Does the employee assume accountability and accept constructive feedback?,34,,,,,,End of month,Tenured,,,,,,,,,,,Accountability,TRUE
,Quantitative,Bucketed,Quantitative,Average length of sales cycles for all won opportunities in the current fiscal year for a rep.,2,YTD_Avg_Length_of_Sales_Cycle_percentage__c,YTD_Average_Sales_Cycle__c,Goal_12m_length_of_sales_cycle__c,Sales Cycle,#,End of month,Both,,176,175,151,150,125,124,101,100,0,Average Length of Sales Cycle (YTD),FALSE
,Quantitative,Bucketed,Quantitative,Average length of sales cycles for all won opportunities in the last 12 months for a rep.,2,X12_Month_Avg_Length_of_Sales_Cycle_Per__c,X12_Month_Rolling_Average_Sales_Cycle__c,Goal_12m_length_of_sales_cycle__c,Sales Cycle,#,End of month,Both,,176,175,151,150,125,124,101,100,0,12 Month Rolling Average Length of Sales Cycle,FALSE
3,Qualitative,Evaluation,Qualitative,Does the employee demonstrate effective communication skills?,23,,,,,,End of quarter,Tenured,,,,,,,,,,,Communication Skills,TRUE
4,Qualitative,Evaluation,Qualitative,Does the employee effectively position our Products against the competition?,28,,,,,,End of quarter,Tenured,,,,,,,,,,,Competitive Positioning,TRUE
7,Qualitative,Evaluation,Qualitative,Does the employee demonstrate a working knowledge of forecasting Revenue?,31,,,,,,End of quarter,Tenured,,,,,,,,,,,Forecasting accuracy,TRUE
8,Qualitative,Evaluation,Qualitative,Does the employee demonstate a strong Industry knowedge?,17,,,,,,End of quarter,Tenured,,,,,,,,,,,Industry Knowledge,TRUE
9,Qualitative,Evaluation,Qualitative,Does the employee demonstrate an effective knowledge of the prospect's business needs?,18,,,,,,End of quarter,Tenured,,,,,,,,,,,Knowledge of Business Needs,TRUE
,Quantitative,Bucketed,Quantitative,The percentage of leads converted to qualified opportunities for the year.,1,YTD_lead_conversion_percentage__c,YTD_Lead_Conversion_rate__c ,Goal_12m_Lead_To_Opp_Conv_Rate__c,Leads,%,End of month,Both,24,0,49,25,74,50,99,75,,100,Lead Conversion Rate (YTD),FALSE
,Quantitative,Bucketed,Quantitative,Count of Opportunities added to the Funnel as Qualified in current month. The probability percentage (Application Settings) determines the threshold for adding an opportunity to the count.,4,Monthly_Opp_added_to_Qualif_Percentage__c,Monthly_QO_added_Quantitative__c,Goal_of_monthly_opptys_added_to_funnel__c,Qualified Opportunities Added,#,End of month,Both,24,0,49,25,74,50,99,75,,100,Monthly Opportunities added to Qualified Funnel,FALSE
,Quantitative,Bucketed,Quantitative,The Average of Opportunity revenue amounts for Opportunities won in last month. Total $$ Amount of all opportunities won in the month / count of won opportunities.,5,Monthly_Average_Win_size_percentage__c,Monthly_Average_Win_size__c,Goal_12m_Avg_Selling_Price__c,Win Size,$,End of month,Both,24,0,49,25,74,50,99,75,,100,Monthly Average $ Win size,FALSE
,Quantitative,Bucketed,Quantitative,"Total monthly revenue of  won opportunities / Revenue of all qualified Opportunities with close dates in the month (Open, Won, Lost), plus revenue of Qualified Opportunities that were moved out of the current month.",6,Monthly_close_rate_percentage__c,Monthly_Close_Rate__c,Goal_12m_rolling_amt_close_rate__c,,%,End of month,Both,24,0,49,25,74,50,99,75,,100,Monthly Close Rate Based on $$$,FALSE
,Quantitative,Bucketed,Quantitative,"Total count of monthly won opportunities / count of all qualified Opportunities with close dates in the month (Open, Won, Lost), plus count of Qualified Opportunities that were moved out of the current month.",7,Monthly_opp_close_rate_percentage__c,Monthly_Opportunity_Close_Rate__c,Goal_12m_rolling_close_rate__c,Opportunity Close Rate,%,End of month,Both,24,0,49,25,74,50,99,75,,100,Monthly Close Rate based on Opportunities,FALSE
,Quantitative,Bucketed,Quantitative,Count of meetings conducted by a rep in current month based on Meeting Types selected in Application Settings.,3,Number_of_meetings_per_month_percentage__c,Number_of_meetings_per_month__c,Goal_of_monthly_meetings__c,Meetings,#,End of month,Both,24,0,49,25,74,50,99,75,,100,Monthly Number of Meetings,FALSE
,Quantitative,Bucketed,Quantitative,Count of Opportunities won this month by a rep.,8,Monthly_Opportunities_Closed_percentage__c,Monthly_opp_won__c,Goal_of_wins_to_achieve_monthly_quota__c,Opportunities Won,#,End of month,Both,24,0,49,25,74,50,99,75,,100,Monthly Number of Wins,FALSE
14,Qualitative,Evaluation,Qualitative,Does the employee demonstrate effective negotiation skills?,25,,,,,,End of month,Tenured,,,,,,,,,,,Negotiation,TRUE
15,Qualitative,Y/N,Qualitative,Has the new employee successfully completed a product/service objection handling session with their Sales Manager?,8,,,,,,End of month,New,,,,,,,,,,,Objection Handling,TRUE
18,Qualitative,Y/N,Qualitative,Has the new employee developed & presented their Territory/Account Plan to Sales Management and has it been approved?,5,,,,,,End of month,New,,,,,,,,,,,Present Plan,TRUE
21,Qualitative,Evaluation,Qualitative,Does the employee demonstrate a working knowledge of our Products?,37,,,,,,End of month,Tenured,,,,,,,,,,,Products,TRUE
22,Qualitative,Evaluation,Qualitative,Does the employee present themselves in a professional manner?,36,,,,,,Bi-annual,Tenured,,,,,,,,,,,Professionalism,TRUE
,Quantitative,Bucketed,Quantitative,The opportunity amount won by a rep in a month considered towards quota retirement.,9,Monthly_Quota_Performance__c,Monthly_Quota_Revenue__c,Monthly_quota__c,,$,End of month,Both,24,0,49,25,74,50,99,75,,100,Monthly Quota Performance,FALSE
,Quantitative,Bucketed,Quantitative,The Average of Opportunity revenue amounts for Opportunities won in last fiscal quarter. Calculated as Total $$ Amount of all opportunities won in quarter/ count of won opportunities in quarter.,12,Quarterly_Average_Win_Size_percentage__c,Quarterly_Average_Win_Size__c,Goal_12m_Avg_Selling_Price__c,Win Size,$,End of quarter,Both,24,0,49,25,74,50,99,75,,100,Quarterly Average $ Win Size,FALSE
,Quantitative,Bucketed,Quantitative,"Total revenue of won opportunities with close dates in the quarter / revenue of qualified Opportunities with close dates are in the quarter (Open, Won, Lost), plus revenue of Qualified Opportunities that were moved out of the quarter.",13,Quarterly_Close_Rate_percentage__c,Quarterly_Close_Rate__c,Goal_12m_rolling_amt_close_rate__c,,%,End of quarter,Both,24,0,49,25,74,50,99,75,,100,Quarterly Close Rate Based on $$$,FALSE
